<frozen runpy>:128: RuntimeWarning: 'core.data_parser.main' found in sys.modules after import of package 'core.data_parser', but prior to execution of 'core.data_parser.main'; this may result in unpredictable behaviour
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.6'. for CBM at row index 24
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.3760 from '2.2*1.8*0.6' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.6')]). for CBM at row index 24
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.6'. for CBM at row index 25
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.3760 from '2.2*1.8*0.6' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.6')]). for CBM at row index 25
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.6'. for CBM at row index 26
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.3760 from '2.2*1.8*0.6' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.6')]). for CBM at row index 26
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.4'. for CBM at row index 27
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.5840 from '2.2*1.8*0.4' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.4')]). for CBM at row index 27
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 28
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 29
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.47'. for CBM at row index 30
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.8612 from '2.2*1.8*0.47' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.47')]). for CBM at row index 30
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 31
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.7'. for CBM at row index 32
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.7720 from '2.2*1.8*0.7' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.7')]). for CBM at row index 32
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.69'. for CBM at row index 33
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.7324 from '2.2*1.8*0.69' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.69')]). for CBM at row index 33
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 34
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.65'. for CBM at row index 35
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.5740 from '2.2*1.8*0.65' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.65')]). for CBM at row index 35
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.63'. for CBM at row index 36
2025-12-02 12:48:12,372 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.4948 from '2.2*1.8*0.63' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.63')]). for CBM at row index 36
2025-12-02 12:48:12,373 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 37
2025-12-02 12:48:12,373 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.4'. for CBM at row index 38
2025-12-02 12:48:12,373 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.5840 from '2.2*1.8*0.4' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.4')]). for CBM at row index 38
2025-12-02 12:48:12,373 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 39
2025-12-02 12:48:12,373 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.37'. for CBM at row index 40
2025-12-02 12:48:12,373 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.4652 from '2.2*1.8*0.37' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.37')]). for CBM at row index 40
2025-12-02 12:48:12,373 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 41
2025-12-02 12:48:12,373 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 42
2025-12-02 12:48:12,373 - INFO - data_processor.py:318 - [process_cbm_column] Finished processing 'col_cbm' column. List now contains calculated values (Decimals or Nones).
2025-12-02 12:48:12,373 - INFO - main.py:549 - Table 1: Distributing values...
2025-12-02 12:48:12,373 - DEBUG - data_processor.py:333 - [distribute_values] Starting value distribution process.
2025-12-02 12:48:12,373 - INFO - data_processor.py:404 - [distribute_values] Starting value distribution for columns: ['col_net', 'col_gross', 'col_cbm'] based on 'col_qty_pcs' (43 rows).
2025-12-02 12:48:12,373 - DEBUG - data_processor.py:411 - [distribute_values] Pre-converted basis values (first 10): [Decimal('181'), Decimal('35'), Decimal('193'), Decimal('4'), Decimal('104'), Decimal('1'), Decimal('150'), Decimal('113'), Decimal('5'), Decimal('12')]
2025-12-02 12:48:12,373 - INFO - data_processor.py:415 - [distribute_values] Processing column for distribution: 'col_net'
2025-12-02 12:48:12,374 - DEBUG - data_processor.py:430 - [distribute_values] Pre-converted values for 'col_net' (first 10): [Decimal('797'), None, Decimal('484.5'), None, Decimal('443'), None, Decimal('601.5'), Decimal('473'), None, Decimal('42')]
2025-12-02 12:48:12,374 - DEBUG - data_processor.py:443 - [distribute_values] Col 'col_net', Row index 0: Found distributable value: 797
